Unnamed: 0,daily_screen_time,app_sessions,social_media_usage,gaming_time,notifications,night_usage,age,work_study_hours,stress_level,apps_installed,Addiction Score
0,2,29,0,0,49,0,44,5,3,35,28.280999999999988
1,6,29,1,2,65,1,29,5,9,21,73.91999999999999
2,9,28,2,0,57,3,28,7,5,39,62.568
3,6,39,2,0,69,1,28,6,8,24,73.392
4,5,37,3,1,64,2,27,4,5,26,71.082
5,4,29,0,0,59,1,42,6,5,22,46.794
6,4,32,0,3,63,2,41,2,4,30,60.587999999999994
7,7,37,4,1,63,1,21,7,5,33,70.95
8,5,29,3,3,83,1,15,7,4,29,77.02199999999999
9,0,22,2,0,51,0,32,6,5,28,35.80499999999999
10,4,14,3,0,41,1,50,11,7,29,37.75199999999999
11,5,29,1,1,57,1,35,4,4,31,51.14999999999999
12,5,30,2,2,67,0,15,9,4,26,60.324
13,7,43,2,0,68,3,44,7,6,29,73.128
14,7,27,1,0,46,1,27,6,0,26,37.09199999999999
15,6,31,2,2,82,1,42,8,3,24,67.15499999999997
16,5,24,1,0,66,0,50,5,6,20,51.54599999999999
17,2,35,3,4,57,1,31,6,3,24,61.611000000000004
18,4,33,1,2,53,1,34,7,7,28,58.01399999999999
19,3,35,1,0,66,2,26,6,7,32,61.743
20,2,28,0,0,55,0,45,6,1,33,25.839
21,7,36,1,2,72,1,29,4,4,34,68.145
22,6,32,3,1,65,1,33,8,7,33,67.485
23,5,37,4,1,72,2,33,9,5,41,69.927
24,1,21,0,0,52,0,45,8,1,22,20.921999999999997
25,2,18,1,0,56,1,27,5,2,22,36.135
26,4,29,3,0,68,2,34,6,5,23,63.227999999999994
27,5,34,1,0,66,0,54,11,3,23,43.593
28,8,43,2,0,82,0,43,3,6,31,75.14099999999998
29,2,25,0,2,84,0,42,5,8,20,65.175
30,4,28,1,0,37,0,24,4,7,22,44.05499999999999
31,4,25,1,3,53,0,46,8,4,21,46.62899999999999
32,3,31,2,1,68,1,30,6,4,21,58.608000000000004
33,5,13,2,0,51,0,54,8,5,21,36.86099999999999
34,5,35,3,1,62,4,15,6,8,37,80.22299999999998
35,6,33,2,3,78,2,19,9,8,36,83.886
36,0,40,0,2,73,0,29,6,5,31,54.87899999999999
37,2,23,0,0,50,0,42,8,6,26,33.561
38,3,31,4,3,61,2,33,4,4,23,69.696
39,5,24,0,0,39,1,36,9,1,31,24.08999999999999
40,1,23,0,0,48,1,33,8,1,24,24.287999999999997
41,5,32,2,0,61,0,28,6,6,30,55.803
42,2,25,1,1,41,1,25,6,3,27,35.507999999999996
43,6,30,3,1,55,1,25,7,6,29,62.271
44,5,36,3,1,67,2,15,6,4,32,69.10200000000002
45,7,26,2,0,47,2,22,10,4,28,49.731
46,5,26,2,0,63,0,33,6,0,28,39.99599999999999
47,2,41,3,3,79,2,44,3,6,27,81.14699999999999
48,4,33,4,2,71,0,15,7,6,38,70.389
49,1,24,2,1,50,1,46,9,5,19,41.547
50,5,32,1,1,78,0,28,7,5,32,61.11600000000001
51,4,40,0,1,68,3,22,5,9,23,77.84699999999998
52,8,45,3,2,73,1,43,4,6,24,84.05099999999999
53,2,21,0,0,54,2,54,10,6,25,37.553999999999995
54,2,39,1,1,60,1,20,7,5,31,54.77999999999998
55,1,23,1,1,43,0,37,3,5,20,37.257
56,6,25,1,1,51,1,49,5,0,22,37.983000000000004
57,2,22,0,3,55,1,28,4,5,22,51.050999999999995
58,1,17,2,1,58,1,40,3,1,20,37.983
59,1,31,1,2,53,0,31,9,4,27,41.71199999999999
60,6,40,2,1,69,1,32,8,3,23,63.49199999999998
61,7,38,2,2,79,1,20,3,4,34,77.253
62,5,37,3,0,70,0,41,6,6,28,63.35999999999999
63,4,46,3,1,68,0,40,3,6,30,69.23399999999998
64,5,37,2,1,55,2,39,7,3,26,55.40700000000002
65,6,22,1,2,56,1,35,8,4,27,50.55599999999998
66,3,20,1,1,65,2,49,6,1,30,40.59
67,2,23,3,0,51,2,23,3,5,27,51.809999999999995
68,3,21,3,2,63,1,47,5,4,25,54.384
69,8,33,1,1,59,0,45,4,7,15,64.81199999999998
