iter	Passed	Remaining
0	42	42693
1	78	38963
2	115	38450
3	141	35125
4	174	34695
5	205	34019
6	238	33871
7	263	32719
8	281	31003
9	309	30659
10	333	29967
11	346	28526
12	362	27508
13	386	27228
14	409	26911
15	434	26725
16	460	26630
17	484	26407
18	506	26158
19	530	25977
20	550	25656
21	570	25349
22	591	25123
23	617	25100
24	644	25124
25	665	24937
26	690	24900
27	732	25439
28	757	25359
29	784	25361
30	804	25133
31	834	25237
32	868	25450
33	886	25183
34	912	25153
35	938	25139
36	970	25249
37	1001	25356
38	1043	25713
39	1071	25711
40	1104	25841
41	1132	25832
42	1167	25986
43	1188	25824
44	1212	25734
45	1229	25504
46	1251	25370
47	1268	25154
48	1286	24959
49	1311	24915
50	1348	25100
51	1378	25134
52	1398	24989
53	1415	24805
54	1438	24711
55	1461	24636
56	1472	24365
57	1481	24056
58	1511	24100
59	1525	23897
60	1545	23786
61	1563	23661
62	1580	23507
63	1596	23346
64	1631	23463
65	1647	23320
66	1670	23263
67	1688	23139
68	1705	23005
69	1725	22926
70	1743	22808
71	1759	22679
72	1778	22586
73	1796	22474
74	1813	22363
75	1830	22260
76	1848	22152
77	1867	22075
78	1886	21997
79	1905	21917
80	1926	21853
81	1944	21764
82	1975	21823
83	2007	21887
84	2061	22186
85	2087	22184
86	2109	22137
87	2131	22091
88	2152	22029
89	2176	22010
90	2199	21968
91	2216	21878
92	2239	21840
93	2265	21835
94	2283	21752
95	2302	21680
96	2321	21609
97	2337	21510
98	2354	21427
99	2361	21255
100	2379	21175
101	2400	21138
102	2417	21054
103	2437	21004
104	2458	20955
105	2477	20895
106	2489	20775
107	2509	20725
108	2540	20770
109	2559	20708
110	2567	20563
111	2572	20396
112	2589	20323
113	2607	20263
114	2624	20195
115	2640	20122
116	2647	19979
117	2658	19872
118	2674	19799
119	2691	19734
120	2708	19674
121	2726	19621
122	2747	19591
123	2767	19553
124	2787	19509
125	2808	19482
126	2825	19425
127	2840	19352
128	2856	19284
129	2872	19224
130	2887	19156
131	2894	19033
132	2913	18994
133	2935	18968
134	2955	18934
135	2973	18892
136	2995	18868
137	3016	18842
138	3034	18798
139	3039	18672
140	3055	18615
141	3071	18559
142	3107	18623
143	3129	18602
144	3147	18559
145	3174	18565
146	3195	18539
147	3213	18496
148	3232	18459
149	3250	18416
150	3268	18374
151	3286	18335
152	3328	18428
153	3335	18322
154	3352	18276
155	3367	18218
156	3384	18172
157	3403	18137
158	3423	18106
159	3443	18080
160	3463	18049
161	3482	18013
162	3502	17983
163	3519	17941
164	3537	17902
165	3554	17858
166	3573	17825
167	3592	17791
168	3610	17751
169	3633	17738
170	3651	17701
171	3669	17662
172	3685	17618
173	3703	17579
174	3721	17543
175	3739	17509
176	3758	17477
177	3774	17429
178	3794	17401
179	3814	17377
180	3832	17342
181	3850	17305
182	3866	17263
183	3883	17222
184	3902	17192
185	3918	17149
186	3937	17119
187	3955	17085
188	3975	17057
189	3996	17038
190	4013	17000
191	4031	16964
192	4048	16929
193	4066	16892
194	4083	16856
195	4100	16820
196	4118	16786
197	4134	16745
198	4152	16713
199	4167	16668
200	4183	16630
201	4199	16589
202	4215	16550
203	4233	16518
204	4254	16498
205	4272	16466
206	4288	16430
207	4306	16397
208	4323	16362
209	4340	16329
210	4358	16297
211	4374	16260
212	4391	16227
213	4411	16204
214	4449	16246
215	4468	16220
216	4488	16194
217	4505	16162
218	4524	16137
219	4544	16113
220	4578	16137
221	4600	16121
222	4622	16106
223	4642	16082
224	4661	16056
225	4684	16044
226	4705	16021
227	4722	15990
228	4739	15957
229	4758	15931
230	4775	15898
231	4795	15876
232	4816	15855
233	4836	15831
234	4854	15802
235	4870	15768
236	4890	15743
237	4910	15722
238	4928	15692
239	4944	15658
240	4960	15621
241	4976	15587
242	4994	15558
243	5027	15578
244	5046	15552
245	5063	15519
246	5081	15492
247	5098	15459
248	5117	15434
249	5135	15407
250	5153	15379
251	5170	15348
252	5187	15317
253	5204	15285
254	5222	15256
255	5238	15224
256	5257	15200
257	5274	15168
258	5292	15142
259	5308	15108
260	5329	15090
261	5343	15052
262	5359	15019
263	5374	14983
264	5391	14953
265	5407	14920
266	5431	14912
267	5452	14892
268	5469	14862
269	5486	14833
270	5504	14806
271	5521	14779
272	5539	14751
273	5556	14722
274	5572	14691
275	5589	14662
276	5606	14633
277	5623	14605
278	5640	14575
279	5658	14549
280	5674	14518
281	5690	14487
282	5706	14458
283	5722	14428
284	5738	14395
285	5756	14371
286	5772	14341
287	5789	14312
288	5805	14282
289	5822	14255
290	5839	14226
291	5854	14195
292	5871	14168
293	5902	14174
294	5924	14159
295	5938	14124
296	5953	14092
297	5969	14063
298	5985	14033
299	6002	14006
300	6019	13978
301	6035	13950
302	6052	13923
303	6069	13896
304	6087	13872
305	6104	13844
306	6120	13814
307	6136	13786
308	6150	13754
309	6169	13731
310	6185	13703
311	6201	13676
312	6218	13649
313	6234	13620
314	6250	13591
315	6266	13564
316	6282	13536
317	6300	13511
318	6316	13485
319	6333	13459
320	6349	13429
321	6364	13401
322	6380	13373
323	6397	13348
324	6414	13322
325	6431	13296
326	6449	13273
327	6489	13295
328	6512	13281
329	6534	13267
330	6553	13246
331	6573	13225
332	6590	13200
333	6609	13179
334	6627	13156
335	6644	13131
336	6664	13111
337	6683	13090
338	6704	13072
339	6721	13047
340	6739	13024
341	6758	13002
342	6776	12980
343	6796	12960
344	6815	12939
